Nama Gambar,Contrast,Energy,Homogeneity,Correlation,Mean,Std
IMG_7694.JPG,132.97198223039214,0.021029970583667106,0.2651071575467261,0.9828820490253496,256.0,200.9012
IMG_7740.JPG,196.1292279411765,0.021360701358113524,0.18048981405486159,0.9761348701544578,256.0,191.64249
IMG_7698.JPG,79.49960171568628,0.01988220348391236,0.23972855390977002,0.9833154632524179,256.0,197.8894
IMG_7612.JPG,72.3832261029412,0.218407190302783,0.41257565984855643,0.9954219360683936,256.0,951.23175
IMG_7758.JPG,125.202818627451,0.018224177775477288,0.1668398826287312,0.9712388496349693,256.0,264.67526
IMG_7759.JPG,176.54083946078435,0.01611013154430975,0.15825927250160976,0.9656302739538402,256.0,216.6015
IMG_7712.JPG,91.74977022058825,0.019482867312882297,0.24507805174281241,0.9841854917856999,256.0,178.50539
IMG_7842.JPG,88.22092524509804,0.01698374021717612,0.22650031676470667,0.9827431340042336,256.0,186.64287
IMG_7845.JPG,40.22495404411764,0.02720932580732461,0.27484217368228075,0.9870954804746431,256.0,310.68314
IMG_7846.JPG,84.82814031862745,0.017841647545623836,0.23422669480929503,0.9851334076189697,256.0,184.29063
